term,a1_bin,a1_perc,a2_bin,a2_perc
ansari intercourse,0.0,0.0,1.0,0.003
ansari indian,0.0,0.0,1.0,0.003
ansari fox,0.0,0.0,1.0,0.003
ansari exposé,0.0,0.0,1.0,0.003
ansari debacle,0.0,0.0,1.0,0.003
ansari comedian,0.0,0.0,1.0,0.003
ansari allegedly,0.0,0.0,1.0,0.003
ansari adds,0.0,0.0,1.0,0.003
ansari actress,0.0,0.0,1.0,0.003
ansari accusations,0.0,0.0,1.0,0.003
allegation comedian,0.0,0.0,1.0,0.003
alexander skarsgard,0.0,0.0,1.0,0.003
actress rachel,0.0,0.0,1.0,0.003
actors james,0.0,0.0,1.0,0.003
accuser grace,0.0,0.0,1.0,0.003
accusation misconduct,0.0,0.0,1.0,0.003
accusation assault,0.0,0.0,1.0,0.003
abc aziz,0.0,0.0,1.0,0.003
aasif mandvi,0.0,0.0,1.0,0.003
"3,000 revenge",0.0,0.0,1.0,0.003
year's globes,0.0,0.0,1.0,0.002
writer lashed,0.0,0.0,1.0,0.002
writer katie,0.0,0.0,1.0,0.002
woke bae,0.0,0.0,1.0,0.002
winner aziz,0.0,0.0,1.0,0.002
weinstein matt,0.0,0.0,1.0,0.002
weinstein ansari,0.0,0.0,1.0,0.002
weinstein allegedly,0.0,0.0,1.0,0.002
website ansari,0.0,0.0,1.0,0.002
waithe emmy,0.0,0.0,1.0,0.002
waithe aziz,0.0,0.0,1.0,0.002
waithe ansari,0.0,0.0,1.0,0.002
viral babe,0.0,0.0,1.0,0.002
viewing globe,0.0,0.0,1.0,0.002
veep's beth,0.0,0.0,1.0,0.002
validate hurt,0.0,0.0,1.0,0.002
valenti tweeted,0.0,0.0,1.0,0.002
utkarsh ambudkar,0.0,0.0,1.0,0.002
unnamed photographer's,0.0,0.0,1.0,0.002
uncomfortable non-verbal,0.0,0.0,1.0,0.002
uncomfortable escalated,0.0,0.0,1.0,0.002
uncomfortable distressed,0.0,0.0,1.0,0.002
uncomfortable comedian,0.0,0.0,1.0,0.002
u200baziz ansari,0.0,0.0,1.0,0.002
tweeted aziz,0.0,0.0,1.0,0.002
tv laura,0.0,0.0,1.0,0.002
tv anthony,0.0,0.0,1.0,0.002
tv alexander,0.0,0.0,1.0,0.002
tv actress,0.0,0.0,1.0,0.002
trivial mistakes,0.0,0.0,1.0,0.002
today's cranberries,0.0,0.0,1.0,0.002
timezone_type timezone,0.0,0.0,1.0,0.002
texted grace,0.0,0.0,1.0,0.002
texted ansari,0.0,0.0,1.0,0.002
tales abuse,0.0,0.0,1.0,0.002
sunday's ceremony,0.0,0.0,1.0,0.002
statuette william,0.0,0.0,1.0,0.002
starring aziz,0.0,0.0,1.0,0.002
sparked consent,0.0,0.0,1.0,0.002
snl sketch,0.0,0.0,1.0,0.002
slug id,0.0,0.0,1.0,0.002
skit aziz,0.0,0.0,1.0,0.002
sketch couples,0.0,0.0,1.0,0.002
skarsgard tv,0.0,0.0,1.0,0.002
site's detailing,0.0,0.0,1.0,0.002
shitty media,0.0,0.0,1.0,0.002
shameless showtime,0.0,0.0,1.0,0.002
shameless eric,0.0,0.0,1.0,0.002
severely ansari's,0.0,0.0,1.0,0.002
second-wave feminist,0.0,0.0,1.0,0.002
scott aziz,0.0,0.0,1.0,0.002
scored monumental,0.0,0.0,1.0,0.002
schumer couric,0.0,0.0,1.0,0.002
schumer ansari,0.0,0.0,1.0,0.002
schooner hudson,0.0,0.0,1.0,0.002
sakina jaffrey,0.0,0.0,1.0,0.002
sacks commentator,0.0,0.0,1.0,0.002
ruined ruined,0.0,0.0,1.0,0.002
ruined people's,0.0,0.0,1.0,0.002
roseanne barr,0.0,0.0,1.0,0.002
richard blumenthal,0.0,0.0,1.0,0.002
responds woman's,0.0,0.0,1.0,0.002
repeatedly pressured,0.0,0.0,1.0,0.002
repeatedly misread,0.0,0.0,1.0,0.002
recognise blaming,0.0,0.0,1.0,0.002
pseudonym grace,0.0,0.0,1.0,0.002
pressuring uncomfortable,0.0,0.0,1.0,0.002
poehler kevin,0.0,0.0,1.0,0.002
poehler aziz,0.0,0.0,1.0,0.002
pin globes,0.0,0.0,1.0,0.002
photographer's accusation,0.0,0.0,1.0,0.002
persistently penetrative,0.0,0.0,1.0,0.002
performers aziz,0.0,0.0,1.0,0.002
people's schumer,0.0,0.0,1.0,0.002
penn aziz,0.0,0.0,1.0,0.002
patrick courrielche,0.0,0.0,1.0,0.002
partners mirrored,0.0,0.0,1.0,0.002
origine asiatica,0.0,0.0,1.0,0.002
opinion ansari,0.0,0.0,1.0,0.002
no-show headlines,0.0,0.0,1.0,0.002
news's patrick,0.0,0.0,1.0,0.002
netflix's globes,0.0,0.0,1.0,0.002
netflix's aziz,0.0,0.0,1.0,0.002
netflix tv,0.0,0.0,1.0,0.002
netflix no-show,0.0,0.0,1.0,0.002
nancherla hasan,0.0,0.0,1.0,0.002
mores commonplace,0.0,0.0,1.0,0.002
moments year's,0.0,0.0,1.0,0.002
mistakes misdeeds,0.0,0.0,1.0,0.002
misreading aziz,0.0,0.0,1.0,0.002
misread pressuring,0.0,0.0,1.0,0.002
misdeeds genuinely,0.0,0.0,1.0,0.002
misconduct uncomfortable,0.0,0.0,1.0,0.002
misconduct left-wing,0.0,0.0,1.0,0.002
misconduct accusation,0.0,0.0,1.0,0.002
mirrored anonymous,0.0,0.0,1.0,0.002
minhaj mindy,0.0,0.0,1.0,0.002
men's ansari,0.0,0.0,1.0,0.002
media anonymous,0.0,0.0,1.0,0.002
mastronardi aziz,0.0,0.0,1.0,0.002
martinelli's juice,0.0,0.0,1.0,0.002
maisel aziz,0.0,0.0,1.0,0.002
lumping trivial,0.0,0.0,1.0,0.002
louis ck,0.0,0.0,1.0,0.002
lipstick highlights,0.0,0.0,1.0,0.002
lashed banfield,0.0,0.0,1.0,0.002
kumail nanjiani,0.0,0.0,1.0,0.002
kondabolu confronts,0.0,0.0,1.0,0.002
kidman actress,0.0,0.0,1.0,0.002
katie couric,0.0,0.0,1.0,0.002
katie babe.net,0.0,0.0,1.0,0.002
juice aziz,0.0,0.0,1.0,0.002
joked genuinely,0.0,0.0,1.0,0.002
joel mchale,0.0,0.0,1.0,0.002
jodi gottlieb,0.0,0.0,1.0,0.002
jameela jamil,0.0,0.0,1.0,0.002
issa rae,0.0,0.0,1.0,0.002
ignoring non-verbal,0.0,0.0,1.0,0.002
history-making emmy,0.0,0.0,1.0,0.002
hills california,0.0,0.0,1.0,0.002
hills calif,0.0,0.0,1.0,0.002
highlights second-wave,0.0,0.0,1.0,0.002
heated consent,0.0,0.0,1.0,0.002
hart aziz,0.0,0.0,1.0,0.002
hart amy,0.0,0.0,1.0,0.002
hank azaria,0.0,0.0,1.0,0.002
handmaid's sterling,0.0,0.0,1.0,0.002
grace's cues,0.0,0.0,1.0,0.002
grace's aziz,0.0,0.0,1.0,0.002
grace's ansari's,0.0,0.0,1.0,0.002
grace uncomfortable,0.0,0.0,1.0,0.002
grace pseudonym,0.0,0.0,1.0,0.002
grace nbc,0.0,0.0,1.0,0.002
grace babe.net,0.0,0.0,1.0,0.002
grace ansari's,0.0,0.0,1.0,0.002
grab condom,0.0,0.0,1.0,0.002
goldberg kal,0.0,0.0,1.0,0.002
globes after-party,0.0,0.0,1.0,0.002
glenn sacks,0.0,0.0,1.0,0.002
giorno dopo,0.0,0.0,1.0,0.002
genuinely awful,0.0,0.0,1.0,0.002
front-woman dolores,0.0,0.0,1.0,0.002
front-runners sag,0.0,0.0,1.0,0.002
front-runner netflix,0.0,0.0,1.0,0.002
framed feminist,0.0,0.0,1.0,0.002
fox aziz,0.0,0.0,1.0,0.002
follow-up featuring,0.0,0.0,1.0,0.002
flanagan atlantic,0.0,0.0,1.0,0.002
feminist website,0.0,0.0,1.0,0.002
featuring partners,0.0,0.0,1.0,0.002
featuring aziz,0.0,0.0,1.0,0.002
episode thanksgiving,0.0,0.0,1.0,0.002
engaging indications,0.0,0.0,1.0,0.002
emmy co-writing,0.0,0.0,1.0,0.002
educated consent,0.0,0.0,1.0,0.002
drake aziz,0.0,0.0,1.0,0.002
distressing grace's,0.0,0.0,1.0,0.002
discomfort consensual,0.0,0.0,1.0,0.002
dimension dating,0.0,0.0,1.0,0.002
detailing woman's,0.0,0.0,1.0,0.002
detailing unnamed,0.0,0.0,1.0,0.002
detailing comedian,0.0,0.0,1.0,0.002
dern tv,0.0,0.0,1.0,0.002
debacle proves,0.0,0.0,1.0,0.002
david letterman,0.0,0.0,1.0,0.002
dating romance,0.0,0.0,1.0,0.002
dating consent,0.0,0.0,1.0,0.002
cues uncomfortable,0.0,0.0,1.0,0.002
cues distress,0.0,0.0,1.0,0.002
cues discomfort,0.0,0.0,1.0,0.002
criticized site's,0.0,0.0,1.0,0.002
criticized babe.net,0.0,0.0,1.0,0.002
cranberries front-woman,0.0,0.0,1.0,0.002
courrielche campaign,0.0,0.0,1.0,0.002
couric podcast,0.0,0.0,1.0,0.002
controversially misconduct,0.0,0.0,1.0,0.002
constitutes consent,0.0,0.0,1.0,0.002
consent coercion,0.0,0.0,1.0,0.002
consent aziz,0.0,0.0,1.0,0.002
commentator men's,0.0,0.0,1.0,0.002
comic aziz,0.0,0.0,1.0,0.002
comedians louis,0.0,0.0,1.0,0.002
comedians aziz,0.0,0.0,1.0,0.002
comedian writer,0.0,0.0,1.0,0.002
comedian hari,0.0,0.0,1.0,0.002
college campuses,0.0,0.0,1.0,0.002
christine hauser,0.0,0.0,1.0,0.002
chris pratt,0.0,0.0,1.0,0.002
campaign accusations,0.0,0.0,1.0,0.002
calling ansari's,0.0,0.0,1.0,0.002
buttresses lumping,0.0,0.0,1.0,0.002
burgundy lipstick,0.0,0.0,1.0,0.002
bumped aziz,0.0,0.0,1.0,0.002
breitbart news's,0.0,0.0,1.0,0.002
bosted beverly,0.0,0.0,1.0,0.002
blaming grace's,0.0,0.0,1.0,0.002
black-ish abc,0.0,0.0,1.0,0.002
beth mccarthy-miller,0.0,0.0,1.0,0.002
bee backlash,0.0,0.0,1.0,0.002
becky manages,0.0,0.0,1.0,0.002
banfield admonished,0.0,0.0,1.0,0.002
backlash aziz,0.0,0.0,1.0,0.002
backlash ansari,0.0,0.0,1.0,0.002
babe.net katie,0.0,0.0,1.0,0.002
babe.net grace,0.0,0.0,1.0,0.002
babe.net anonymous,0.0,0.0,1.0,0.002
babe.net alleging,0.0,0.0,1.0,0.002
babe.com aziz,0.0,0.0,1.0,0.002
babe's ansari's,0.0,0.0,1.0,0.002
babe katie,0.0,0.0,1.0,0.002
babe follow-up,0.0,0.0,1.0,0.002
babe allegations,0.0,0.0,1.0,0.002
aziz's ruined,0.0,0.0,1.0,0.002
awful handful,0.0,0.0,1.0,0.002
awards sunday's,0.0,0.0,1.0,0.002
awards bosted,0.0,0.0,1.0,0.002
attends viewing,0.0,0.0,1.0,0.002
assault aziz,0.0,0.0,1.0,0.002
asian-american globe,0.0,0.0,1.0,0.002
asian tv,0.0,0.0,1.0,0.002
asian actors,0.0,0.0,1.0,0.002
apologized discomfort,0.0,0.0,1.0,0.002
ansari's romance,0.0,0.0,1.0,0.002
ansari's moments,0.0,0.0,1.0,0.002
ansari's comedian,0.0,0.0,1.0,0.002
ansari's accuser's,0.0,0.0,1.0,0.002
ansari yorker's,0.0,0.0,1.0,0.002
ansari wins,0.0,0.0,1.0,0.002
ansari whoopi,0.0,0.0,1.0,0.002
ansari uber,0.0,0.0,1.0,0.002
ansari tweet,0.0,0.0,1.0,0.002
ansari tribeca,0.0,0.0,1.0,0.002
ansari today's,0.0,0.0,1.0,0.002
ansari tales,0.0,0.0,1.0,0.002
ansari stand-up,0.0,0.0,1.0,0.002
ansari spotlight,0.0,0.0,1.0,0.002
ansari sparks,0.0,0.0,1.0,0.002
ansari sparked,0.0,0.0,1.0,0.002
ansari scored,0.0,0.0,1.0,0.002
ansari reportedly,0.0,0.0,1.0,0.002
ansari real-life,0.0,0.0,1.0,0.002
ansari rapist,0.0,0.0,1.0,0.002
ansari picking,0.0,0.0,1.0,0.002
ansari persistently,0.0,0.0,1.0,0.002
ansari penis,0.0,0.0,1.0,0.002
ansari paradox,0.0,0.0,1.0,0.002
ansari online,0.0,0.0,1.0,0.002
ansari nominee,0.0,0.0,1.0,0.002
ansari netflix's,0.0,0.0,1.0,0.002
ansari muslim,0.0,0.0,1.0,0.002
ansari mindy,0.0,0.0,1.0,0.002
ansari madison,0.0,0.0,1.0,0.002
ansari lena,0.0,0.0,1.0,0.002
ansari joked,0.0,0.0,1.0,0.002
ansari james,0.0,0.0,1.0,0.002
ansari insulted,0.0,0.0,1.0,0.002
ansari ignoring,0.0,0.0,1.0,0.002
ansari hurt,0.0,0.0,1.0,0.002
ansari hasan,0.0,0.0,1.0,0.002
ansari grab,0.0,0.0,1.0,0.002
ansari front-runner,0.0,0.0,1.0,0.002
ansari feminist,0.0,0.0,1.0,0.002
ansari emmy,0.0,0.0,1.0,0.002
ansari dismiss,0.0,0.0,1.0,0.002
ansari deserved,0.0,0.0,1.0,0.002
ansari crime,0.0,0.0,1.0,0.002
ansari controversially,0.0,0.0,1.0,0.002
ansari commit,0.0,0.0,1.0,0.002
ansari comedians,0.0,0.0,1.0,0.002
ansari college,0.0,0.0,1.0,0.002
ansari co-creator,0.0,0.0,1.0,0.002
ansari buttresses,0.0,0.0,1.0,0.002
ansari brooklyn,0.0,0.0,1.0,0.002
ansari attends,0.0,0.0,1.0,0.002
ansari asian-american,0.0,0.0,1.0,0.002
ansari arrives,0.0,0.0,1.0,0.002
ansari apologized,0.0,0.0,1.0,0.002
ansari aparna,0.0,0.0,1.0,0.002
ansari alleged,0.0,0.0,1.0,0.002
ansari alan,0.0,0.0,1.0,0.002
ansari aggressive,0.0,0.0,1.0,0.002
ansari acknowledging,0.0,0.0,1.0,0.002
ansari accusing,0.0,0.0,1.0,0.002
anonymous grace,0.0,0.0,1.0,0.002
anonymous babe.net,0.0,0.0,1.0,0.002
anchor criticized,0.0,0.0,1.0,0.002
american celebrities,0.0,0.0,1.0,0.002
amazon's marvelous,0.0,0.0,1.0,0.002
allegations weinstein,0.0,0.0,1.0,0.002
allegations comedian,0.0,0.0,1.0,0.002
allegation aziz,0.0,0.0,1.0,0.002
alessandra mastronardi,0.0,0.0,1.0,0.002
aired sketch,0.0,0.0,1.0,0.002
ahmed aziz,0.0,0.0,1.0,0.002
admonished babe.net,0.0,0.0,1.0,0.002
adds dimension,0.0,0.0,1.0,0.002
actress elisabeth,0.0,0.0,1.0,0.002
accuser babe.net,0.0,0.0,1.0,0.002
abuse wafted,0.0,0.0,1.0,0.002
ü ll,0.0,0.0,1.0,0.001
yu eric,0.0,0.0,1.0,0.001
youth naivety,0.0,0.0,1.0,0.001
yorker's viral,0.0,0.0,1.0,0.001
yorker bad-sex,0.0,0.0,1.0,0.001
year-old's comedian,0.0,0.0,1.0,0.001
yankee dawg,0.0,0.0,1.0,0.001
yang waithe,0.0,0.0,1.0,0.001
yang vet,0.0,0.0,1.0,0.001
yang lena,0.0,0.0,1.0,0.001
yang explore,0.0,0.0,1.0,0.001
yang critiqued,0.0,0.0,1.0,0.001
yang coming-out,0.0,0.0,1.0,0.001
yang ansari,0.0,0.0,1.0,0.001
yahr pop,0.0,0.0,1.0,0.001
yaer-old woman's,0.0,0.0,1.0,0.001
x-rated ansari,0.0,0.0,1.0,0.001
wunderkinder foundation,0.0,0.0,1.0,0.001
writer tv,0.0,0.0,1.0,0.001
writer revenge,0.0,0.0,1.0,0.001
writer millennial,0.0,0.0,1.0,0.001
writer danny,0.0,0.0,1.0,0.001
writer bari,0.0,0.0,1.0,0.001
"writer 3,000",0.0,0.0,1.0,0.001
writ cab,0.0,0.0,1.0,0.001
wrap comedian,0.0,0.0,1.0,0.001
workplace violation,0.0,0.0,1.0,0.001
workplace imessage,0.0,0.0,1.0,0.001
workplace dynamics,0.0,0.0,1.0,0.001
workplace dreaming,0.0,0.0,1.0,0.001
wooliest manic,0.0,0.0,1.0,0.001
women's grace's,0.0,0.0,1.0,0.001
women's discomfort,0.0,0.0,1.0,0.001
women's complexity,0.0,0.0,1.0,0.001
women's ansari's,0.0,0.0,1.0,0.001
women's ansari,0.0,0.0,1.0,0.001
womanizer hypocrite,0.0,0.0,1.0,0.001
woman's texts,0.0,0.0,1.0,0.001
woman's nonverbal,0.0,0.0,1.0,0.001
woman's man's,0.0,0.0,1.0,0.001
woman's ill-fated,0.0,0.0,1.0,0.001
woman's framed,0.0,0.0,1.0,0.001
woman's disputed,0.0,0.0,1.0,0.001
woman's comic,0.0,0.0,1.0,0.001
woman's aziz,0.0,0.0,1.0,0.001
woman's allegation,0.0,0.0,1.0,0.001
wolov accusers,0.0,0.0,1.0,0.001
wolfe managing,0.0,0.0,1.0,0.001
wokeness gig,0.0,0.0,1.0,0.001
woke male-feminist,0.0,0.0,1.0,0.001
witch cautioned,0.0,0.0,1.0,0.001
wintour comedian,0.0,0.0,1.0,0.001
wins thanksgiving,0.0,0.0,1.0,0.001
wins globes,0.0,0.0,1.0,0.001
wins emily,0.0,0.0,1.0,0.001
wins chris,0.0,0.0,1.0,0.001
wins celebrities,0.0,0.0,1.0,0.001
wins black-ish,0.0,0.0,1.0,0.001
wins archie,0.0,0.0,1.0,0.001
winners riz,0.0,0.0,1.0,0.001
winners marking,0.0,0.0,1.0,0.001
winner thomas,0.0,0.0,1.0,0.001
winner stalling,0.0,0.0,1.0,0.001
winner netflix,0.0,0.0,1.0,0.001
winner marvelous,0.0,0.0,1.0,0.001
winner marc,0.0,0.0,1.0,0.001
winner empty-handed,0.0,0.0,1.0,0.001
willimon amber,0.0,0.0,1.0,0.001
williams justin,0.0,0.0,1.0,0.001
wiig emmy,0.0,0.0,1.0,0.001
wielded ansari's,0.0,0.0,1.0,0.001
wider opinion,0.0,0.0,1.0,0.001
whoa relax,0.0,0.0,1.0,0.001
who've legislatively,0.0,0.0,1.0,0.001
who's-who asian,0.0,0.0,1.0,0.001
whatsoever grace's,0.0,0.0,1.0,0.001
well-received viewers,0.0,0.0,1.0,0.001
well-known showbiz,0.0,0.0,1.0,0.001
well-established bee,0.0,0.0,1.0,0.001
welfare eros,0.0,0.0,1.0,0.001
weiss weighed,0.0,0.0,1.0,0.001
weiss retelling,0.0,0.0,1.0,0.001
weiss relates,0.0,0.0,1.0,0.001
weiss penned,0.0,0.0,1.0,0.001
weiss emphasised,0.0,0.0,1.0,0.001
weiss dangers,0.0,0.0,1.0,0.001
weiss contended,0.0,0.0,1.0,0.001
weiss aziz,0.0,0.0,1.0,0.001
weiss arguing,0.0,0.0,1.0,0.001
weiss ansari,0.0,0.0,1.0,0.001
weinsteins frankens,0.0,0.0,1.0,0.001
weinstein-esque emerges,0.0,0.0,1.0,0.001
weinstein's matt,0.0,0.0,1.0,0.001
weinstein's babe,0.0,0.0,1.0,0.001
weinstein sproporzionatamente,0.0,0.0,1.0,0.001
weinstein serial,0.0,0.0,1.0,0.001
weinstein noticeable,0.0,0.0,1.0,0.001
weinstein louis,0.0,0.0,1.0,0.001
weinstein kevin,0.0,0.0,1.0,0.001
weinstein grace,0.0,0.0,1.0,0.001
weinstein escorted,0.0,0.0,1.0,0.001
weinstein bee,0.0,0.0,1.0,0.001
weinstein allegations,0.0,0.0,1.0,0.001
weighs aziz,0.0,0.0,1.0,0.001
weighed aziz,0.0,0.0,1.0,0.001
weighed actor's,0.0,0.0,1.0,0.001
week's slate,0.0,0.0,1.0,0.001
week's sag,0.0,0.0,1.0,0.001
wee soundtrack,0.0,0.0,1.0,0.001
websites gonna,0.0,0.0,1.0,0.001
websites ansari,0.0,0.0,1.0,0.001
website pseudonymously,0.0,0.0,1.0,0.001
website lurid,0.0,0.0,1.0,0.001
website grace,0.0,0.0,1.0,0.001
website babe's,0.0,0.0,1.0,0.001
weapon wielded,0.0,0.0,1.0,0.001
wealthy celebrity,0.0,0.0,1.0,0.001
way's recounting,0.0,0.0,1.0,0.001
way's caliber,0.0,0.0,1.0,0.001
waved poster-board,0.0,0.0,1.0,0.001
watson onstage,0.0,0.0,1.0,0.001
watches aziz,0.0,0.0,1.0,0.001
warriors steve,0.0,0.0,1.0,0.001
warped high-school,0.0,0.0,1.0,0.001
warn photo,0.0,0.0,1.0,0.001
wareheim noel,0.0,0.0,1.0,0.001
wanna aziz,0.0,0.0,1.0,0.001
walks aziz,0.0,0.0,1.0,0.001
waldorf astoria,0.0,0.0,1.0,0.001
waithe's ansari,0.0,0.0,1.0,0.001
waithe yaer-old,0.0,0.0,1.0,0.001
waithe talks,0.0,0.0,1.0,0.001
waithe standout,0.0,0.0,1.0,0.001
waithe soaks,0.0,0.0,1.0,0.001
waithe script,0.0,0.0,1.0,0.001
waithe earned,0.0,0.0,1.0,0.001
waithe consent,0.0,0.0,1.0,0.001
waithe comedy-writing,0.0,0.0,1.0,0.001
waithe breaks,0.0,0.0,1.0,0.001
waithe asian,0.0,0.0,1.0,0.001
waithe african-american,0.0,0.0,1.0,0.001
waith emmy,0.0,0.0,1.0,0.001
waded debates,0.0,0.0,1.0,0.001
vulture studios,0.0,0.0,1.0,0.001
vulture precluding,0.0,0.0,1.0,0.001
vulture creator,0.0,0.0,1.0,0.001
vulnerable ansari,0.0,0.0,1.0,0.001
vox's caroline,0.0,0.0,1.0,0.001
vox ansari,0.0,0.0,1.0,0.001
voter suppression,0.0,0.0,1.0,0.001
vorrebbe sepolta,0.0,0.0,1.0,0.001
von muffling,0.0,0.0,1.0,0.001
voiced hesitation,0.0,0.0,1.0,0.001
voiced hank,0.0,0.0,1.0,0.001
vocabulary outer,0.0,0.0,1.0,0.001
vividly explaining,0.0,0.0,1.0,0.001
viral unwilling,0.0,0.0,1.0,0.001
viral something's,0.0,0.0,1.0,0.001
viral op-ed,0.0,0.0,1.0,0.001
viral denies,0.0,0.0,1.0,0.001
viral catalogued,0.0,0.0,1.0,0.001
violations misdeeds,0.0,0.0,1.0,0.001
violations boundaries,0.0,0.0,1.0,0.001
violation consent,0.0,0.0,1.0,0.001
violating criminal,0.0,0.0,1.0,0.001
violating ansari,0.0,0.0,1.0,0.001
violated prompted,0.0,0.0,1.0,0.001
violated non-verbal,0.0,0.0,1.0,0.001
violated grace,0.0,0.0,1.0,0.001
violated everybody's,0.0,0.0,1.0,0.001
violated babe,0.0,0.0,1.0,0.001
vino bianco,0.0,0.0,1.0,0.001
vincere globe,0.0,0.0,1.0,0.001
viewers homecoming,0.0,0.0,1.0,0.001
viewers episode,0.0,0.0,1.0,0.001
viene credere,0.0,0.0,1.0,0.001
videos broadcasts,0.0,0.0,1.0,0.001
victims harvey,0.0,0.0,1.0,0.001
victims ansari,0.0,0.0,1.0,0.001
victim perpetrator,0.0,0.0,1.0,0.001
victim non-verbal,0.0,0.0,1.0,0.001
victim ansari,0.0,0.0,1.0,0.001
vicenda racconta,0.0,0.0,1.0,0.001
vibe homelier,0.0,0.0,1.0,0.001
vf waithe,0.0,0.0,1.0,0.001
vexed parameters,0.0,0.0,1.0,0.001
vet co-created,0.0,0.0,1.0,0.001
verso l'apposizione,0.0,0.0,1.0,0.001
verbally non-verbally,0.0,0.0,1.0,0.001
venue ansari's,0.0,0.0,1.0,0.001
venue ansari,0.0,0.0,1.0,0.001
ventimiglia mandy,0.0,0.0,1.0,0.001
ventiduenne brooklyn,0.0,0.0,1.0,0.001
vedersi cena,0.0,0.0,1.0,0.001
values grace,0.0,0.0,1.0,0.001
valenti guardian,0.0,0.0,1.0,0.001
vagina genitals,0.0,0.0,1.0,0.001
uttered ansari's,0.0,0.0,1.0,0.001
users richard,0.0,0.0,1.0,0.001
usa jodi,0.0,0.0,1.0,0.001
usa aziz,0.0,0.0,1.0,0.001
urging ansari,0.0,0.0,1.0,0.001
uptick comedian,0.0,0.0,1.0,0.001
upsetting comedian,0.0,0.0,1.0,0.001
upset bumped,0.0,0.0,1.0,0.001
upset becky,0.0,0.0,1.0,0.001
updates surfaced,0.0,0.0,1.0,0.001
updated 10:27,0.0,0.0,1.0,0.001
unwilling acknowledge,0.0,0.0,1.0,0.001
unwelcome kiss,0.0,0.0,1.0,0.001
unwanted interaction,0.0,0.0,1.0,0.001
unwanted aggression,0.0,0.0,1.0,0.001
unsettling subsequent,0.0,0.0,1.0,0.001
unsettling assaultive,0.0,0.0,1.0,0.001
unremarkable dev,0.0,0.0,1.0,0.001
unpleasant flirtation,0.0,0.0,1.0,0.001
unpleasant anonymous,0.0,0.0,1.0,0.001
unpicks ansari's,0.0,0.0,1.0,0.001
unnamed photographer,0.0,0.0,1.0,0.001
unnamed impropriety,0.0,0.0,1.0,0.001
unleashing efficacy,0.0,0.0,1.0,0.001
university louisville,0.0,0.0,1.0,0.001
universality ansari,0.0,0.0,1.0,0.001
unilaterally publish,0.0,0.0,1.0,0.001
unidentified woman's,0.0,0.0,1.0,0.001
unheralded london's,0.0,0.0,1.0,0.001
unheard-of babe.net,0.0,0.0,1.0,0.001
unhappiness porn,0.0,0.0,1.0,0.001
unfolded ansari,0.0,0.0,1.0,0.001
unfold allegations,0.0,0.0,1.0,0.001
unflattering celebrities,0.0,0.0,1.0,0.001
unfair follow-up,0.0,0.0,1.0,0.001
unfair aziz,0.0,0.0,1.0,0.001
unenforceable college,0.0,0.0,1.0,0.001
unencumbered media,0.0,0.0,1.0,0.001
unease aziz,0.0,0.0,1.0,0.001
undresses performs,0.0,0.0,1.0,0.001
undo pants,0.0,0.0,1.0,0.001
uncool tom,0.0,0.0,1.0,0.001
uncomfortably logic,0.0,0.0,1.0,0.001
uncomfortably ansari,0.0,0.0,1.0,0.001
uncomfortable unwanted,0.0,0.0,1.0,0.001
uncomfortable texted,0.0,0.0,1.0,0.001
uncomfortable labeled,0.0,0.0,1.0,0.001
uncomfortable aziz,0.0,0.0,1.0,0.001
uncomfortable apologized,0.0,0.0,1.0,0.001
unclear consensual,0.0,0.0,1.0,0.001
unaware boyfriend,0.0,0.0,1.0,0.001
unannounced stand-up,0.0,0.0,1.0,0.001
unannounced ck,0.0,0.0,1.0,0.001
unannounced ansari,0.0,0.0,1.0,0.001
unacceptable conceive,0.0,0.0,1.0,0.001
umbrella differentiate,0.0,0.0,1.0,0.001
ulteriori viene,0.0,0.0,1.0,0.001
ufficiale comico,0.0,0.0,1.0,0.001
ubiquity unhappiness,0.0,0.0,1.0,0.001
ubiquitous ansari,0.0,0.0,1.0,0.001
u0027s u200baziz,0.0,0.0,1.0,0.001
u0027s slug,0.0,0.0,1.0,0.001
typically alleged,0.0,0.0,1.0,0.001
two-time emmy,0.0,0.0,1.0,0.001
twitter jester,0.0,0.0,1.0,0.001
twitter bumped,0.0,0.0,1.0,0.001
twin peaks,0.0,0.0,1.0,0.001
tweeted feminist,0.0,0.0,1.0,0.001
tweeted convo,0.0,0.0,1.0,0.001
tweet netflix's,0.0,0.0,1.0,0.001
tweet doctored,0.0,0.0,1.0,0.001
tweet comics,0.0,0.0,1.0,0.001
tweet aziz,0.0,0.0,1.0,0.001
tv writer,0.0,0.0,1.0,0.001
tv tv,0.0,0.0,1.0,0.001
tv sterling,0.0,0.0,1.0,0.001
tv roseanne,0.0,0.0,1.0,0.001
tv rachel,0.0,0.0,1.0,0.001
tv queer,0.0,0.0,1.0,0.001
tv personalities,0.0,0.0,1.0,0.001
tv netflix's,0.0,0.0,1.0,0.001
tv navigating,0.0,0.0,1.0,0.001
tv globes,0.0,0.0,1.0,0.001
tv frontal,0.0,0.0,1.0,0.001
tv elisabeth,0.0,0.0,1.0,0.001
tv awards,0.0,0.0,1.0,0.001
tv asian,0.0,0.0,1.0,0.001
turkle natasha,0.0,0.0,1.0,0.001
tryst threesome,0.0,0.0,1.0,0.001
trutv kondabolu,0.0,0.0,1.0,0.001
trump's opinions,0.0,0.0,1.0,0.001
